Nitrogen_Kjeldahl,TotalSuspendedSolids,Nitrate,Conductivity,DissolvedOxygen,pH,TotalNitrogen,Nitrite,Chloride,10mLandCover_AgriculturalExtraction,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -7day Total,Total Rain (mm) -56day Total,Total Rain (mm) -3day Total,Total Rain (mm) -28day Total,Total Rain (mm) -1day Total,Total Rain (mm) -14day Total,Month,Phosphorus
1.4,93.2,0.045,511.0,15.93,8.0,1.453,0.008,39.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.7054969999999956
1.02,9.0,0.53,713.0,10.0,8.0,1.555,0.005,80.7,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6707054999999964
1.04,3.0,1.12,637.0,10.0,8.0,2.179,0.019,227.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.4403519999999977
0.69,4.9,1.06,780.0,20.25,8.0,1.757,0.007,71.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5865564999999935
1.61,30.4,0.68,682.0,21.52,8.0,2.322,0.032,173.7,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.704283999999998
0.51,3.9,0.51,630.0,27.85,8.0,1.032,0.012,106.6,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5582399999999931
0.18,4.1,0.117,573.0,27.74,8.0,0.303,0.006,18.9,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5642534999999927
0.39,0.9,0.069,1298.0,30.23,8.0,0.464,0.005,239.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.17748689999999973
0.38,6.5,0.101,836.0,28.02,8.0,0.487,0.006,98.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6353724999999936
0.1,2.0,0.1,994.0,14.0,8.0,0.203,0.003,113.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.22784559999999948
0.64,15.0,0.01,882.0,15.0,8.0,0.659,0.009,131.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6653389999999938
0.38,1.3,0.318,642.0,28.46,8.0,0.706,0.008,50.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.16393069999999957
1.13,7.9,0.42,1718.0,31.54,8.0,1.599,0.049,886.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6551219999999962
0.08,3.0,0.45,926.0,13.0,8.0,0.54,0.01,131.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.42274819999999713
0.25,3.0,0.34,1050.0,12.0,8.0,0.599,0.009,202.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4287899999999974
0.8,4.0,1.39,1483.0,15.0,8.0,2.245,0.055,320.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5707784999999949
0.45,2.0,0.174,1559.0,30.47,8.0,0.632,0.008,376.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.2458673999999995
0.69,3.8,1.17,830.0,25.89,8.0,1.874,0.014,68.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5580524999999945
0.4,5.0,0.53,646.0,13.0,8.0,0.947,0.017,108.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5821909999999912
0.39,8.0,0.79,774.0,14.0,8.0,1.185,0.005,84.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6422689999999941
1.03,25.4,0.46,809.0,27.95,8.0,1.522,0.032,273.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.6891724999999944
0.99,57.4,1.72,626.0,27.51,8.0,2.732,0.022,43.2,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7057979999999953
1.01,12.4,0.36,614.0,28.02,8.0,1.384,0.014,105.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6743899999999953
1.19,93.0,0.81,719.0,14.0,8.0,2.017,0.017,88.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6879134999999954
0.47,5.0,0.136,649.0,27.81,8.0,0.611,0.005,57.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5861229999999918
1.93,45.7,5.51,670.0,28.08,8.0,7.495,0.055,81.8,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8057105000000009
1.58,65.0,1.77,587.0,14.0,8.0,3.378,0.028,71.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7786639999999977
1.47,34.4,3.07,641.0,28.01,8.0,4.584,0.044,74.5,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7778234999999977
0.82,19.8,2.66,891.0,32.3,8.0,3.515,0.035,166.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7634499999999951
0.08,16.0,0.89,796.0,15.0,8.0,0.995,0.025,122.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6646314999999936
0.95,7.0,1.54,1403.0,15.0,8.0,2.543,0.053,270.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6530069999999957
1.57,18.4,0.78,1096.0,30.47,9.0,2.405,0.055,451.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6935119999999985
0.08,10.0,0.95,830.0,14.0,8.0,1.053,0.023,109.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.657054999999994
0.42,9.0,1.81,782.0,16.0,8.0,2.244,0.014,73.4,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6705329999999957
0.68,10.1,2.41,406.0,32.1,8.0,3.104,0.014,66.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7349749999999957
0.42,5.0,1.91,780.0,16.0,8.0,2.378,0.048,275.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5904249999999936
1.37,26.3,1.27,1467.0,31.85,8.0,2.693,0.053,191.4,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.7134364999999968
0.41,4.0,0.67,1748.0,16.0,8.0,1.098,0.018,283.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.5615944999999931
0.88,5.0,2.38,1195.0,17.0,8.0,3.294,0.034,176.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6608559999999927
0.8,7.0,1.56,2472.0,17.0,8.0,2.39,0.03,576.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6480744999999956
0.48,6.0,0.37,955.0,15.0,8.0,0.861,0.011,114.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.597927499999993
0.56,4.0,0.51,781.0,15.0,8.0,1.078,0.008,65.1,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.5619234999999929
0.51,3.0,0.79,764.0,16.0,8.0,1.305,0.005,64.9,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.42986899999999717
0.95,20.0,1.33,4901.0,15.0,8.0,2.341,0.061,1330.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6901929999999953
1.26,79.0,0.76,3880.0,14.0,8.0,2.07,0.05,994.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6956104999999959
1.36,184.0,0.5,2930.0,14.0,8.0,1.894,0.034,714.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6972134999999962
1.56,148.0,0.55,4150.0,14.0,8.0,2.16,0.05,1060.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6994549999999973
1.27,110.0,0.72,3494.0,14.0,8.0,2.029,0.039,897.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6966599999999963
1.21,94.0,0.71,2107.0,14.0,8.0,1.947,0.027,436.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6926644999999952
0.83,24.0,1.29,2401.0,17.0,8.0,2.155,0.035,515.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.683976499999995
0.98,77.0,1.33,1371.0,18.0,8.0,2.332,0.022,263.0,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.6893094999999951
1.19,16.0,3.07,713.0,16.0,8.0,4.282,0.022,67.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.7611584999999967
0.78,101.0,1.91,734.0,18.0,8.0,2.703,0.013,84.3,0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.7018709999999948
0.55,4.0,0.67,678.0,13.0,7.0,1.229,0.009,56.3,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5681409999999932
0.7,3.0,1.12,1723.0,15.0,8.0,1.844,0.024,373.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4308719999999973
0.82,4.0,1.08,1658.0,15.0,8.0,1.922,0.022,307.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.564954999999995
0.65,8.0,1.03,664.0,15.0,8.0,1.7,0.02,57.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6446009999999956
0.65,2.0,1.95,4034.0,15.0,8.0,2.663,0.063,1230.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.27561740000000057
0.57,6.0,0.64,1124.0,16.0,8.0,1.216,0.006,148.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.603959999999993
0.46,8.0,0.31,583.0,15.0,8.0,0.778,0.008,44.2,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6400139999999935
1.71,7.0,8.34,8490.0,16.0,8.0,10.093,0.043,2610.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7412844999999998
0.7,2.0,1.1,10678.0,15.0,8.0,1.847,0.047,3330.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.27069740000000037
0.6,6.0,0.98,8812.0,14.0,8.0,1.604,0.024,2870.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6008499999999948
0.7,2.0,0.84,3632.0,16.0,8.0,1.552,0.012,1020.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2683133500000005
2.11,9.0,0.94,15291.0,16.0,8.0,3.13,0.08,4840.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8243860000000035
0.29,2.0,1.36,942.0,17.0,8.0,1.657,0.007,136.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2391376999999999
0.28,2.0,1.31,795.0,15.0,8.0,1.603,0.013,65.4,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.23797139999999997
0.44,4.0,1.48,2055.0,16.0,8.0,1.934,0.014,483.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5682849999999944
0.67,3.0,1.32,4120.0,16.0,8.0,2.018,0.028,1260.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4408684999999978
0.78,5.0,2.43,4675.0,18.0,8.0,3.243,0.033,1370.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6594654999999923
0.12,10.0,1.67,1545.0,20.0,8.0,1.806,0.016,299.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6665554999999959
0.72,3.0,0.77,1132.0,17.0,8.0,1.496,0.006,178.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4308899999999976
0.64,5.0,0.45,574.0,19.0,8.0,1.094,0.004,43.1,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5872834999999916
0.48,5.0,1.85,1797.0,18.0,8.0,2.347,0.017,391.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5912414999999935
0.76,2.0,0.94,674.0,18.0,8.0,1.703,0.003,59.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.27003305000000066
0.74,4.0,0.77,704.0,18.0,8.0,1.514,0.004,64.8,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5649659999999945
0.85,6.0,1.26,2317.0,19.0,8.0,2.118,0.008,544.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6028454999999948
1.48,2.0,1.38,12464.0,18.0,8.0,2.898,0.038,4300.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3896279999999945
0.78,5.0,0.97,3748.0,18.0,8.0,1.76,0.01,1030.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5867314999999936
3.29,7.0,1.96,7460.0,19.0,8.0,5.287,0.037,2370.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8695205000000067
0.81,19.0,1.49,6411.0,18.0,8.0,2.358,0.058,1980.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.685401499999996
1.16,9.0,1.72,5970.0,18.0,8.0,2.92,0.04,1880.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7340429999999971
0.54,26.0,1.42,1024.0,19.0,8.0,1.962,0.002,155.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6839029999999947
0.59,2.0,1.43,854.0,18.0,8.0,2.025,0.005,87.5,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2681266000000004
0.76,226.0,1.54,2918.0,19.0,8.0,2.309,0.009,740.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6881089999999948
0.54,29.0,0.59,890.0,15.0,8.0,1.131,0.001,122.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.679955499999993
0.77,6.0,1.25,1640.0,19.0,8.0,2.0209,0.0009,341.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6012739999999948
0.5,8.0,0.31,565.0,16.0,8.0,0.812,0.002,34.5,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6400374999999936
0.92,18.0,0.91,1061.0,16.0,8.0,1.839,0.009,167.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6751989999999961
0.85,28.0,0.99,1107.0,16.0,8.0,1.846,0.006,201.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6818634999999951
0.67,6.0,0.51,615.0,16.0,8.0,1.181,0.001,54.9,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6037484999999929
0.47,8.0,0.72,583.0,15.0,8.0,1.192,0.002,49.1,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.644957499999994
1.13,4.0,1.81,3816.0,18.0,8.0,2.959,0.019,1030.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6316204999999935
0.74,13.0,0.55,2926.0,17.0,8.0,1.2909,0.0009,758.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6668799999999948
0.39,8.0,0.75,2798.0,17.0,8.0,1.1409,0.0009,717.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6426279999999939
1.2,6.0,1.02,1640.0,16.0,8.0,2.224,0.004,346.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6130624999999946
0.88,2.0,0.75,4450.0,17.0,8.0,1.645,0.015,1320.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.29384344999999995
0.55,8.0,1.24,754.0,14.0,8.0,1.793,0.003,71.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6431149999999956
1.33,8.0,1.75,2752.0,15.0,8.0,3.135,0.055,719.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.7307124999999977
0.7,24.0,1.31,845.0,15.0,8.0,2.015,0.005,113.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6819209999999946
0.74,16.0,0.95,1590.0,15.0,8.0,1.697,0.007,344.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.6724384999999959
0.47,54.0,0.47,1165.0,12.0,8.0,0.951,0.011,230.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6754614999999924
0.74,28.1,0.584,1007.0,25.8,8.0,1.34,0.016,155.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6833524999999937
0.21,38.0,0.38,787.0,12.0,8.0,0.592,0.002,145.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6722564999999927
0.5,15.6,0.611,618.0,25.68,8.0,1.115,0.004,49.8,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.666831999999994
0.5,16.9,0.334,664.0,25.69,8.0,0.841,0.007,48.8,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6679564999999935
0.68,11.6,1.31,1115.0,25.6,8.0,2.017,0.027,219.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6658409999999957
0.45,5.6,0.314,636.0,25.6,8.0,0.769,0.005,52.4,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5941134999999929
0.55,3.7,1.0,2522.0,25.96,8.0,1.597,0.047,628.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5575794999999947
0.59,3.8,0.968,1847.0,26.2,8.0,1.586,0.028,399.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5588114999999946
0.53,4.0,1.52,2637.0,13.0,8.0,2.075,0.025,677.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5694914999999943
0.29,7.0,0.73,2133.0,12.0,8.0,1.03,0.01,542.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6339309999999934
0.18,7.0,1.03,1454.0,12.0,8.0,1.215,0.005,289.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.639910499999994
0.27,4.0,2.0,2098.0,13.0,8.0,2.28,0.01,461.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5681214999999943
0.51,10.0,1.06,1235.0,25.89,8.0,1.583,0.013,221.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.664225499999996
0.62,8.0,1.27,847.0,13.0,8.0,1.892,0.002,106.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6445369999999955
0.46,3.0,1.23,868.0,27.86,8.0,1.695,0.005,87.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.4354609999999973
1.17,37.0,0.03,1068.0,12.0,8.0,1.209,0.009,163.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6975739999999938
0.52,2.1,0.397,683.0,22.05,8.0,0.929,0.012,55.8,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2522671499999996
0.78,2.7,0.604,1853.0,24.5,8.0,1.407,0.023,385.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.3476193999999978
0.47,6.0,0.659,669.0,22.19,8.0,1.137,0.008,55.7,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.600875999999993
0.34,2.4,0.138,592.0,24.35,8.0,0.485,0.007,20.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2750794999999987
0.74,22.7,0.373,1090.0,20.41,8.0,1.131,0.018,155.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.683705499999993
0.51,6.0,0.13,926.0,11.0,8.0,0.645,0.005,114.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5990334999999932
0.68,10.0,0.79,1350.0,11.0,8.0,1.497,0.027,241.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6652099999999954
1.57,11.0,0.54,1682.0,11.0,8.0,2.121,0.011,462.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6822514999999982
0.72,4.7,0.621,2604.0,23.82,8.0,1.361,0.02,587.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5869614999999933
0.72,5.1,0.937,3124.0,24.26,8.0,1.697,0.04,763.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5878144999999939
1.62,9.0,1.76,2841.0,14.0,8.0,3.455,0.075,690.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7609615000000001
0.53,33.0,0.011,731.0,11.0,8.0,0.546,0.005,0.066,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.6378694999999922
1.56,92.0,0.93,1343.0,12.0,8.0,2.523,0.033,297.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7012474999999975
0.5,2.3,0.954,799.0,22.24,8.0,1.463,0.009,61.5,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2889855999999992
1.85,519.0,0.533,1050.0,23.61,8.0,2.411,0.028,187.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.7052199999999977
0.57,1.9,0.45,1089.0,29.89,8.0,1.043,0.023,237.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.2595257500000003
0.58,13.4,0.456,776.0,10.0,8.0,1.05,0.014,105.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6612504999999937
0.35,6.9,0.398,600.0,21.51,8.0,0.755,0.007,49.2,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6339294999999936
1.14,75.5,0.298,851.0,9.0,8.0,1.46,0.022,142.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6932754999999946
0.68,21.8,0.338,863.0,20.16,8.0,1.033,0.015,131.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6787914999999922
0.47,23.4,0.214,585.0,21.57,8.0,0.698,0.014,29.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6771374999999925
0.54,9.3,0.177,621.0,19.64,8.0,0.725,0.008,52.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6621994999999942
0.44,8.2,1.28,1549.0,12.0,8.0,1.77,0.05,326.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6642534999999959
0.48,11.4,0.568,879.0,21.94,8.0,1.076,0.028,157.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6571874999999937
0.57,5.6,1.19,774.0,19.85,8.0,1.779,0.019,72.1,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.5951304999999948
0.57,11.1,1.78,715.0,10.0,8.0,2.369,0.019,81.4,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6716064999999958
0.84,7.5,2.02,1380.0,19.88,8.0,2.945,0.085,309.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.7042204999999961
0.53,6.2,0.581,1403.0,10.0,8.0,1.13,0.019,316.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.601294999999993
0.96,2.6,1.7,1987.0,13.0,8.0,2.823,0.163,453.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.3724024999999973
0.34,3.1,0.196,1612.0,24.11,8.0,0.546,0.01,411.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.4261061999999969
0.51,6.6,0.432,927.0,20.42,8.0,0.967,0.025,157.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6375394999999936
0.55,22.4,0.877,1140.0,9.0,8.0,1.46,0.033,189.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.6808459999999943
0.6,4.5,0.632,1981.0,22.24,8.0,1.285,0.053,485.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.5698874999999931
0.52,31.3,0.109,944.0,9.0,8.0,0.646,0.017,172.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6775179999999926
0.49,4.8,0.01,1679.0,25.71,8.0,0.504,0.004,392.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5779414999999928
0.34,2.2,0.453,590.0,23.71,8.0,0.8,0.007,55.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.23665139999999976
0.35,3.7,0.1,611.0,21.96,8.0,0.455,0.005,52.2,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5533969999999939
1.92,139.0,0.01,985.0,27.65,8.0,1.934,0.004,152.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.7320300000000003
0.17,13.4,0.132,522.0,24.14,8.0,0.31,0.008,14.3,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6616999999999944
0.3,3.7,0.159,787.0,12.0,8.0,0.462,0.003,98.4,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.553066499999994
0.33,3.6,0.695,1748.0,13.0,8.0,1.044,0.019,391.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5440674999999933
0.34,3.4,0.563,664.0,23.62,8.0,0.909,0.006,56.2,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5140239999999953
0.38,5.2,0.09,1003.0,23.91,8.0,0.478,0.008,177.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5833374999999921
0.44,6.2,0.041,609.0,11.0,8.0,0.483,0.002,80.6,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5953369999999927
1.38,4.8,1.8,1788.0,12.0,8.0,3.374,0.194,452.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6656634999999954
1.13,9.0,2.31,1362.0,21.82,8.0,3.505,0.065,268.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.7499864999999969
0.96,5.6,0.062,2109.0,20.08,8.0,1.028,0.006,517.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6050004999999932
0.79,14.8,0.303,1586.0,22.45,8.0,1.111,0.018,309.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6698059999999946
0.52,5.8,0.501,1581.0,10.0,8.0,1.03,0.009,349.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5958079999999928
0.45,6.3,0.32,970.0,25.63,8.0,0.79,0.02,167.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6009214999999931
0.96,111.0,0.651,1059.0,11.0,8.0,1.625,0.014,169.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.6861559999999952
0.65,9.3,0.269,856.0,20.43,8.0,0.929,0.01,128.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.6635289999999939
0.62,2.1,1.62,1882.0,12.0,8.0,2.38,0.14,405.0,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.2672376000000003
