,latitude,longitude,pH,Month,Year,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -3day Total,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,TotalPhosphorus
445,43.86966251719599,-79.07429473168425,8.29,9,2019,2016,0.8,19.6,19.6,0.6599999999999999,0.6,0.059
446,43.8665555139999,-78.83083585599991,8.33,6,2010,2011,3.4,3.8,3.4,1.198,0.42,0.018000000000000002
448,43.9698207641,-78.7474947309,8.34,9,2003,2001,0.0,0.0,0.0,0.7759999999999999,0.21,0.022
449,43.903646124282595,-79.02242423756033,8.21,6,2019,2016,0.0,2.8,0.0,1.4369999999999998,0.81,0.0184
451,43.86966251719599,-79.07429473168425,8.04,9,2019,2016,0.0,21.0,21.0,1.1059999999999999,1.04,0.052000000000000005
453,43.839189888999904,-79.03983860619991,8.38,6,2010,2011,25.8,64.5,64.5,1.1779999999999995,0.47,0.044
455,43.86966251719599,-79.07429473168425,8.33,6,2019,2016,0.0,2.8,0.0,0.991,0.87,0.0185
456,43.803681746598656,-79.11029851493568,8.39,4,2016,2016,0.0,0.0,0.0,1.871,0.49,0.0165
457,43.8665555139999,-78.83083585599991,8.28,9,2013,2011,0.0,4.4,0.0,1.14,0.05,0.016
462,43.826445953885724,-79.0888364051583,7.93,10,2016,2016,4.8,10.599999999999998,5.4,3.049,1.43,0.0389
463,43.87148426502804,-79.06518285587957,8.4,10,2016,2016,0.0,9.6,7.6,0.317,0.09,0.008
464,43.88073326399999,-78.821483231,8.33,7,2012,2011,0.0,0.0,0.0,1.68,0.49,0.042
466,43.826445953885724,-79.0888364051583,7.78,2,2016,2016,0.0,1.0,0.0,2.818,0.71,0.0278
467,43.911565263999904,-78.78870535599991,8.14,9,2005,2006,20.4,84.80000000000003,20.4,2.135,0.91,0.065
468,43.9336066389999,-78.9618889811,8.38,6,2010,2011,3.4,3.8,3.4,1.176,0.42,0.019
470,43.839189888999904,-79.03983860619991,8.45,8,2010,2011,0.0,25.4,0.8,0.73,0.35,0.019
471,43.8566716389999,-78.96067785609999,7.86,8,2014,2016,0.0,0.0,0.0,0.79,0.37,0.016
472,43.894292013999994,-78.6750209809,8.23,11,2005,2006,0.0,39.1,19.1,4.059,0.85,0.096
474,43.8681977773999,-78.84614457339991,8.38,9,2014,2016,5.2,7.2,5.2,1.22,0.43,0.041
475,43.8566716389999,-78.96067785609999,8.53,11,2007,2006,0.0,3.0,3.0,1.6740000000000002,0.59,0.022
478,43.9336066389999,-78.9618889811,8.38,4,2009,2011,5.1,25.1,5.1,1.405,0.34,0.015
481,43.8665555139999,-78.83083585599991,8.33,9,2008,2006,0.3,25.6,14.4,1.18,0.54,0.07200000000000001
483,43.894292013999994,-78.6750209809,8.35,8,2009,2011,0.0,35.6,9.0,1.4909999999999999,0.53,0.044
486,43.894292013999994,-78.6750209809,8.35,10,2009,2011,0.0,0.0,0.0,0.938,0.19,0.006
491,43.95051113741628,-79.0852601060121,8.29,4,2018,2016,0.0,0.0,0.0,0.8019999999999999,0.21,0.0414
492,43.9462080141,-78.9036611061,8.3,10,2008,2006,0.0,19.2,3.4,1.103,0.3,0.01
493,43.961447014099996,-79.1256539813,8.4,9,2004,2006,0.0,0.0,0.0,0.32,0.22,0.014
496,43.9698207641,-78.7474947309,8.29,6,2012,2011,0.0,26.8,6.4,0.8220000000000001,0.4,0.03
498,43.9336066389999,-78.9618889811,8.3,9,2009,2011,0.0,0.0,0.0,0.954,0.21,0.009000000000000001
499,43.961447014099996,-79.1256539813,8.46,5,2010,2011,0.0,0.0,0.0,0.531,0.29,0.01
502,43.894292013999994,-78.6750209809,8.38,10,2011,2011,2.8,3.0,2.8,1.761,0.39,0.021
505,43.907755641700824,-79.07291785615752,8.2,1,2019,2016,0.0,0.0,0.0,1.838,0.63,0.0245
509,43.95051113741628,-79.0852601060121,8.71,3,2018,2016,0.0,0.0,0.0,0.742,0.41,0.0184
510,43.894292013999994,-78.6750209809,8.29,6,2013,2011,0.0,38.8,3.6,1.347,0.56,0.057
515,43.8566716389999,-78.96067785609999,8.35,8,2005,2006,0.0,0.6,0.0,0.66,0.45,0.029
517,43.8665555139999,-78.83083585599991,8.28,9,2004,2006,0.0,0.0,0.0,1.1049999999999998,0.28,0.017
519,43.85091976432907,-79.07581985566414,8.49,12,2015,2016,7.9,8.9,8.3,1.1609999999999998,0.29,0.01
520,43.8566716389999,-78.96067785609999,8.67,9,2011,2011,18.0,18.0,18.0,0.961,0.48,0.03
522,43.8566716389999,-78.96067785609999,8.04,5,2012,2011,0.0,0.0,0.0,0.768,0.47,0.023
524,43.8665555139999,-78.83083585599991,8.39,7,2010,2011,0.0,16.0,0.0,1.074,0.39,0.019
525,43.894292013999994,-78.6750209809,8.47,5,2007,2006,0.0,0.0,0.0,0.984,0.26,0.009000000000000001
528,43.894292013999994,-78.6750209809,8.39,4,2007,2006,0.0,8.9,0.0,1.355,0.29,0.01
530,43.87148426502804,-79.06518285587957,8.4,6,2019,2016,0.0,2.8,0.0,0.594,0.3,0.02
532,43.85091976432907,-79.07581985566414,6.99,4,2019,2016,6.0,51.8,6.0,2.065,0.94,0.108
533,43.87148426502804,-79.06518285587957,8.4,4,2017,2016,0.0,0.0,0.0,0.531,0.26,0.0284
534,43.8566716389999,-78.96067785609999,8.31,6,2005,2006,0.0,0.0,0.0,0.9279999999999999,0.83,0.083
535,43.911565263999904,-78.78870535599991,8.28,5,2008,2006,0.0,14.2,0.0,0.438,0.02,0.04
536,43.95051113741628,-79.0852601060121,8.3,1,2019,2016,0.0,0.0,0.0,1.085,0.53,0.0325
537,43.8665555139999,-78.83083585599991,8.44,4,2011,2011,13.0,27.3,27.3,1.611,0.61,0.08199999999999999
538,43.961447014099996,-79.1256539813,8.59,7,2006,2006,0.0,12.2,0.0,0.396,0.28,0.033
539,43.88073326399999,-78.821483231,8.38,8,2008,2006,6.8,60.8,7.6,2.553,0.63,0.046
541,43.826445953885724,-79.0888364051583,7.8,12,2015,2016,0.0,8.9,7.9,1.495,0.68,0.028
543,43.9336066389999,-78.9618889811,8.45,9,2006,2006,9.1,17.9,17.9,1.058,0.38,0.026
544,43.85091976432907,-79.07581985566414,8.44,6,2016,2016,0.6,0.6,0.6,0.802,0.34,0.0151
547,43.9462080141,-78.9036611061,8.43,8,2011,2011,0.0,15.6,15.4,1.006,0.22,0.013
548,43.85091976432907,-79.07581985566414,7.67,10,2018,2016,0.0,0.0,0.0,1.085,0.54,0.0217
550,43.894292013999994,-78.6750209809,8.37,10,2004,2006,0.0,0.4,0.0,1.1840000000000002,0.57,0.015
552,43.950511154557326,-79.08526005436643,8.25,2,2017,2016,2.4,2.4,2.4,1.041,0.4,0.0288
553,43.87148426502804,-79.06518285587957,8.16,1,2018,2016,14.5,15.0,15.0,1.1209999999999998,0.62,0.087
555,43.9698207641,-78.7474947309,8.58,11,2007,2006,0.0,3.0,3.0,1.087,0.21,0.008
557,43.8665555139999,-78.83083585599991,8.33,7,2004,2006,1.0,13.5,4.5,1.1840000000000002,0.36,0.035
559,43.961447014099996,-79.1256539813,8.47,8,2007,2006,0.0,10.7,0.0,0.312,0.24,0.026
560,43.87148426502804,-79.06518285587957,8.49,11,2017,2016,0.0,15.3,0.4,0.981,0.61,0.0302
561,43.9336066389999,-78.9618889811,8.37,5,2010,2011,5.8,9.4,6.8,0.758,0.35,0.01
562,43.866872015284024,-79.08601360640442,8.41,7,2019,2016,0.0,96.0,0.0,0.585,0.47,0.0142
563,43.9336066389999,-78.9618889811,8.24,10,2003,2001,0.0,0.0,0.0,0.946,0.27,0.006999999999999999
564,43.803681746598656,-79.11029851493568,6.92,4,2019,2016,0.0,34.0,6.0,3.362,0.91,0.0233
565,43.839189888999904,-79.03983860619991,8.26,5,2009,2011,54.1,63.3,63.3,0.988,0.44,0.015
566,43.9462080141,-78.9036611061,8.22,11,2005,2006,0.0,28.4,19.0,3.4890000000000003,0.78,0.099
567,43.839189888999904,-79.03983860619991,7.78,7,2014,2016,2.0,2.0,2.0,0.74,0.4,0.022
568,43.961447014099996,-79.1256539813,8.48,7,2010,2011,0.0,14.4,11.4,0.462,0.38,0.021
570,43.803681746598656,-79.11029851493568,8.25,6,2017,2016,10.0,29.5,10.4,2.8510000000000004,0.82,0.0319
574,43.87148426502804,-79.06518285587957,7.82,4,2015,2016,13.8,43.40000000000001,43.40000000000001,5.308,4.67,1.54
575,43.894292013999994,-78.6750209809,8.38,6,2005,2006,0.0,0.0,0.0,0.7020000000000001,0.27,0.021
576,43.866872015284024,-79.08601360640442,7.24,2,2019,2016,0.0,7.0,1.0,1.7120000000000002,1.03,0.0907
577,43.8566716389999,-78.96067785609999,8.34,11,2010,2011,0.0,4.6,4.6,1.01,0.39,0.008
578,43.8665555139999,-78.83083585599991,8.3,7,2003,2001,0.0,3.2,0.0,1.075,0.51,0.068
579,43.8665555139999,-78.83083585599991,8.32,9,2007,2006,29.0,29.0,29.0,1.0279999999999998,0.31,0.011
583,43.894292013999994,-78.6750209809,8.51,7,2007,2006,2.4,2.4,2.4,0.6920000000000001,0.25,0.019
584,43.86966251719599,-79.07429473168425,8.11,2,2017,2016,2.4,2.4,2.4,0.871,0.48,0.0233
585,43.8566716389999,-78.96067785609999,7.93,10,2007,2006,7.8,15.2,15.2,1.2,0.68,0.079
586,43.839189888999904,-79.03983860619991,8.31,1,2014,2016,0.0,0.0,0.0,1.23,0.47,0.018000000000000002
587,43.9462080141,-78.9036611061,8.38,5,2009,2011,3.8,3.8,3.8,1.2439999999999998,0.27,0.013
589,43.9462080141,-78.9036611061,8.34,7,2004,2006,0.0,8.8,3.0,1.065,0.3,0.032
591,43.9336066389999,-78.9618889811,8.38,10,2014,2016,0.0,6.6,0.0,0.99,0.43,0.021
592,43.866872015284024,-79.08601360640442,8.38,11,2017,2016,0.0,15.3,0.4,1.071,0.7,0.0104
593,43.894292013999994,-78.6750209809,8.49,7,2006,2006,0.6,2.0,0.6,0.636,0.2,0.006
594,43.88073326399999,-78.821483231,8.25,8,2005,2006,0.0,1.5,0.0,1.5689999999999995,0.42,0.028
595,43.9336066389999,-78.9618889811,8.38,8,2010,2011,0.0,16.2,12.6,0.89,0.35,0.02
596,43.87148426502804,-79.06518285587957,8.46,7,2019,2016,0.0,96.0,0.0,0.5529999999999999,0.4,0.0197
598,43.85091976432907,-79.07581985566414,8.0,2,2015,2016,0.0,0.0,0.0,1.62,0.36,0.021
599,43.803681746598656,-79.11029851493568,8.3,8,2018,2016,38.4,38.4,38.4,1.7109999999999999,1.44,0.205
601,43.907755641700824,-79.07291785615752,8.21,1,2018,2016,14.5,15.0,15.0,1.651,0.66,0.0242
602,43.87148426502804,-79.06518285587957,8.4,1,2015,2016,0.0,22.5,0.0,0.94,0.55,0.054000000000000006
603,43.866872015284024,-79.08601360640442,8.18,3,2019,2016,0.0,0.0,0.0,0.794,0.5,0.0337
605,43.894292013999994,-78.6750209809,8.4,9,2007,2006,29.0,29.0,29.0,0.7120000000000001,0.2,0.011
606,43.839189888999904,-79.03983860619991,8.52,6,2011,2011,30.6,32.4,32.4,0.8540000000000001,0.44,0.026
609,43.803681746598656,-79.11029851493568,8.29,8,2019,2016,1.8,8.8,2.0,1.4509999999999998,0.63,0.0323
610,43.88073326399999,-78.821483231,8.2,11,2012,2011,0.0,0.0,0.0,2.614,0.5,0.018000000000000002
611,43.911565263999904,-78.78870535599991,8.33,4,2008,2006,0.0,0.0,0.0,2.1790000000000003,0.42,0.021
612,43.839189888999904,-79.03983860619991,8.33,4,2008,2006,0.0,16.7,9.9,0.887,0.33,0.013
613,43.88073326399999,-78.821483231,8.32,9,2004,2006,0.0,0.0,0.0,2.613,0.78,0.027000000000000003
615,43.839189888999904,-79.03983860619991,8.54,8,2007,2006,0.0,2.0,0.0,0.546,0.31,0.024
621,43.95051113741628,-79.0852601060121,8.47,12,2016,2016,0.0,0.0,0.0,0.542,0.2,0.01
626,43.803681746598656,-79.11029851493568,8.03,7,2018,2016,9.4,27.9,10.0,1.481,0.81,0.0299
627,43.85091976432907,-79.07581985566414,8.22,9,2018,2016,6.6,27.6,27.6,1.07,0.67,0.0248
631,43.911565263999904,-78.78870535599991,8.27,5,2013,2011,2.4,2.4,2.4,1.3250000000000002,0.77,0.027000000000000003
634,43.839189888999904,-79.03983860619991,8.45,1,2011,2011,0.0,0.0,0.0,1.24,0.42,0.032
635,43.9336066389999,-78.9618889811,8.26,8,2013,2011,0.0,0.0,0.0,0.79,0.36,0.027000000000000003
636,43.839189888999904,-79.03983860619991,8.23,9,2009,2011,0.0,2.8,2.8,0.6839999999999999,0.24,0.01
638,43.903646124282595,-79.02242423756033,7.83,2,2018,2016,10.2,35.2,35.2,1.6209999999999998,1.03,0.107
639,43.87148426502804,-79.06518285587957,8.18,9,2019,2016,0.0,21.0,21.0,1.5140000000000002,1.09,0.0601
641,43.88073326399999,-78.821483231,8.19,8,2009,2011,0.0,35.6,9.0,1.654,0.76,0.057
643,43.9462080141,-78.9036611061,8.29,5,2012,2011,0.0,0.0,0.0,0.902,0.23,0.015
644,43.907755641700824,-79.07291785615752,8.06,9,2018,2016,6.6,27.6,27.6,1.631,0.91,0.0545
646,43.9462080141,-78.9036611061,8.21,5,2005,2006,0.0,6.800000000000002,1.4,0.921,0.23,0.011
648,43.907755641700824,-79.07291785615752,8.38,5,2017,2016,0.0,1.1,0.6,0.7609999999999999,0.34,0.01
649,43.9462080141,-78.9036611061,8.52,4,2011,2011,13.0,27.3,27.3,1.4049999999999998,0.35,0.017
650,43.803681746598656,-79.11029851493568,8.31,11,2017,2016,0.4,15.7,0.4,2.401,0.95,0.0163
654,43.866872015284024,-79.08601360640442,6.83,12,2018,2016,0.0,0.0,0.0,1.1440000000000001,0.63,0.0115
655,43.903646124282595,-79.02242423756033,7.96,8,2017,2016,0.0,0.2,0.0,0.5660000000000001,0.5,0.0143
659,43.903646124282595,-79.02242423756033,8.75,12,2017,2016,0.0,0.0,0.0,1.101,0.56,0.0137
661,43.866872015284024,-79.08601360640442,6.99,10,2018,2016,0.0,0.0,0.0,0.355,0.3,0.0126
662,43.894292013999994,-78.6750209809,8.4,11,2010,2011,0.0,4.6,4.6,1.115,0.34,0.024
663,43.9462080141,-78.9036611061,8.42,5,2014,2016,1.2,3.2,3.2,0.94,0.31,0.032
664,43.8665555139999,-78.83083585599991,8.15,4,2007,2006,0.0,8.9,0.0,1.63,0.41,0.014
666,43.9336066389999,-78.9618889811,8.43,7,2010,2011,0.0,16.0,0.0,0.935,0.31,0.02
668,43.803681746598656,-79.11029851493568,8.11,10,2016,2016,4.0,10.0,4.2,4.79,2.77,0.0341
669,43.8665555139999,-78.83083585599991,8.38,10,2005,2006,3.0,3.0,3.0,1.232,0.34,0.009000000000000001
671,43.9336066389999,-78.9618889811,8.47,6,2007,2006,0.0,0.0,0.0,1.073,0.32,0.02
672,43.894292013999994,-78.6750209809,8.42,6,2014,2016,3.8,4.6,3.8,0.84,0.36,0.021
675,43.826445953885724,-79.0888364051583,7.97,8,2015,2016,1.2,1.2,1.2,2.03,0.47,0.0294
677,43.826445953885724,-79.0888364051583,8.1,10,2015,2016,0.8,9.2,9.2,2.094,0.99,0.11
678,43.8952281389999,-78.67232773089991,8.28,8,2003,2001,0.0,2.2,0.0,2.388,0.69,0.08800000000000001
679,43.839189888999904,-79.03983860619991,8.21,2,2010,2011,0.0,0.0,0.0,1.2990000000000002,0.42,0.046
680,43.903646124282595,-79.02242423756033,7.89,10,2019,2016,11.4,11.4,11.4,1.244,1.22,0.0126
681,43.87148426502804,-79.06518285587957,8.52,3,2018,2016,0.0,0.0,0.0,0.8150000000000001,0.37,0.0281
682,43.9698207641,-78.7474947309,8.42,9,2008,2006,0.3,25.6,14.4,1.098,0.625,0.103
683,43.8566716389999,-78.96067785609999,8.31,8,2006,2006,3.4,3.4,3.4,0.7040000000000001,0.39,0.024
685,43.961447014099996,-79.1256539813,8.37,11,2004,2006,0.0,3.1,0.0,0.32,0.24,0.012
687,43.9336066389999,-78.9618889811,8.48,4,2014,2016,0.0,8.2,6.0,0.99,0.23,0.015
688,43.961447014099996,-79.1256539813,8.66,5,2011,2011,12.0,31.3,14.2,1.317,1.04,0.16399999999999998
692,43.866872015284024,-79.08601360640442,8.46,9,2019,2016,0.8,19.6,19.6,0.35,0.29,0.025
695,43.8665555139999,-78.83083585599991,7.95,5,2013,2011,2.4,2.4,2.4,2.0469999999999997,1.31,0.08800000000000001
698,43.9336066389999,-78.9618889811,8.3,7,2014,2016,2.2,14.4,14.4,0.96,0.43,0.04
700,43.86966251719599,-79.07429473168425,8.27,7,2017,2016,0.0,4.6,3.0,1.041,0.9,0.125
701,43.961447013814315,-79.12565398133975,8.32,2,2017,2016,2.8,2.8,2.8,0.79,0.5,0.0209333333333333
702,43.961447014099996,-79.1256539813,8.44,5,2008,2006,0.0,3.7,3.7,0.256,0.25,0.008
703,43.86966251719599,-79.07429473168425,8.04,9,2018,2016,6.6,27.6,27.6,0.971,0.88,0.0427
705,43.839189888999904,-79.03983860619991,8.27,12,2010,2011,0.0,0.0,0.0,1.256,0.37,0.015
706,43.866872015284024,-79.08601360640442,8.28,2,2017,2016,2.4,2.4,2.4,1.5609999999999995,0.71,0.0487
709,43.88073326399999,-78.821483231,8.37,7,2006,2006,0.6,2.0,0.6,1.827,0.46,0.017
710,43.95051113741628,-79.0852601060121,8.68,3,2019,2016,0.0,0.0,0.0,1.014,0.7,0.0768
712,43.83918989152514,-79.03983860614731,7.82,2,2015,2016,0.0,0.0,0.0,1.09,0.32,0.014
713,43.911565263999904,-78.78870535599991,8.3,10,2005,2006,3.0,3.0,3.0,1.9269999999999998,0.49,0.029
717,43.9698207641,-78.7474947309,8.36,7,2014,2016,2.2,14.4,14.4,0.83,0.29,0.018000000000000002
720,43.839189888999904,-79.03983860619991,8.23,2,2013,2011,0.0,24.0,24.0,1.182,0.42,0.037000000000000005
722,43.85091976432907,-79.07581985566414,8.48,12,2017,2016,4.0,4.0,4.0,1.361,0.4,0.01
723,43.8665555139999,-78.83083585599991,8.26,6,2003,2001,0.0,16.4,0.4,1.4340000000000002,0.53,0.042
725,43.88073326399999,-78.821483231,8.4,11,2007,2006,0.0,3.0,3.0,2.76,0.64,0.047
727,43.803681746598656,-79.11029851493568,8.19,1,2018,2016,2.3,17.3,16.8,3.301,1.76,0.135
731,43.839189888999904,-79.03983860619991,8.36,4,2009,2011,0.0,22.1,3.1,1.129,0.37,0.035
732,43.961447014099996,-79.1256539813,7.94,4,2015,2016,22.6,29.6,29.6,1.51,0.87,0.374
734,43.894292013999994,-78.6750209809,8.42,9,2004,2006,0.0,0.0,0.0,0.7659999999999999,0.24,0.016
736,43.803681746598656,-79.11029851493568,8.09,10,2015,2016,1.4,3.4,3.4,2.858,1.59,0.0394
737,43.961447013814315,-79.12565398133975,7.88,3,2015,2016,0.0,5.2,0.0,0.993,0.62,0.056
738,43.95051113741628,-79.0852601060121,8.12,3,2016,2016,3.2,13.0,13.0,4.541,3.76,1.02
740,43.88073326399999,-78.821483231,8.36,7,2008,2006,21.8,73.6,22.6,2.548,1.04,0.108
742,43.907755641700824,-79.07291785615752,7.26,11,2018,2016,0.0,15.6,0.0,1.432,0.6,0.0209
744,43.961447014099996,-79.1256539813,8.33,5,2004,2006,0.0,1.2,1.2,0.385,0.32,0.012
746,43.866872015284024,-79.08601360640442,8.47,5,2017,2016,0.0,1.1,0.6,0.47100000000000003,0.33,0.01
747,43.826445953885724,-79.0888364051583,7.89,3,2016,2016,4.2,17.2,7.4,1.857,1.13,0.175
748,43.86966251719599,-79.07429473168425,8.2,11,2017,2016,0.0,15.3,0.4,1.1909999999999998,0.95,0.0222
749,43.826445953885724,-79.0888364051583,7.22,2,2019,2016,0.0,7.0,0.0,1.7009999999999998,0.97,0.0365
750,43.87148426502804,-79.06518285587957,8.25,5,2015,2016,0.0,0.0,0.0,0.383,0.25,0.021
752,43.9698207641,-78.7474947309,8.49,5,2011,2011,24.6,29.200000000000006,24.6,0.922,0.27,0.013
754,43.9698207641,-78.7474947309,8.32,8,2012,2011,0.4,3.0,2.4,0.738,0.18,0.018000000000000002
755,43.961447013814315,-79.12565398133975,7.83,2,2016,2016,0.0,0.0,0.0,0.6709999999999999,0.32,0.0245
756,43.9462080141,-78.9036611061,8.49,7,2007,2006,2.4,2.4,2.4,0.8740000000000001,0.24,0.013
757,43.961447014099996,-79.1256539813,8.37,9,2006,2006,0.0,21.4,2.0,0.326,0.28,0.014
758,43.803681746598656,-79.11029851493568,9.02,5,2019,2016,0.3,16.2,5.8,3.141,1.09,0.0299
759,43.95051113741628,-79.0852601060121,8.43,5,2016,2016,9.0,13.6,9.0,0.531,0.38,0.01
760,43.803681746598656,-79.11029851493568,8.38,9,2016,2016,0.0,12.4,0.0,1.951,1.06,0.0266
762,43.88073326399999,-78.821483231,8.39,4,2014,2016,0.0,8.2,6.0,1.77,0.31,0.019
763,43.866872015284024,-79.08601360640442,8.11,9,2018,2016,6.6,27.6,27.6,0.434,0.36,0.019
765,43.9336066389999,-78.9618889811,8.37,7,2009,2011,0.0,2.1,2.1,1.1889999999999998,0.29,0.014
766,43.894292013999994,-78.6750209809,8.45,7,2005,2006,0.0,9.9,1.9,0.636,0.22,0.013
767,43.87148426502804,-79.06518285587957,8.57,9,2017,2016,0.8,0.8,0.8,0.451,0.25,0.0143
768,43.8566716389999,-78.96067785609999,8.46,5,2011,2011,24.6,29.200000000000006,24.6,1.1849999999999998,0.48,0.018000000000000002
769,43.839189888999904,-79.03983860619991,8.39,7,2003,2001,0.0,3.6,0.0,0.594,0.35,0.035
771,43.95051113741628,-79.0852601060121,8.41,6,2016,2016,0.6,0.6,0.6,0.48100000000000004,0.2,0.0154
773,43.839189888999904,-79.03983860619991,8.55,7,2006,2006,0.0,0.0,0.0,0.53,0.33,0.021
774,43.961447014099996,-79.1256539813,8.32,11,2012,2011,0.0,0.0,0.0,0.4,0.23,0.005
777,43.9462080141,-78.9036611061,8.29,6,2013,2011,0.0,38.8,3.6,1.3869999999999998,0.6,0.017
778,43.8665555139999,-78.83083585599991,8.3,9,2006,2006,9.1,17.9,17.9,1.2539999999999998,0.49,0.047
779,43.88073326399999,-78.821483231,8.39,4,2011,2011,13.0,27.3,27.3,2.226,0.68,0.095
780,43.9336066389999,-78.9618889811,8.3,10,2004,2006,0.0,0.0,0.0,1.051,0.3,0.01
781,43.8566716389999,-78.96067785609999,8.31,9,2007,2006,29.0,29.0,29.0,0.981,0.77,0.039
782,43.894292013999994,-78.6750209809,8.45,6,2007,2006,0.0,0.0,0.0,0.8950000000000001,0.33,0.035
783,43.894292013999994,-78.6750209809,8.31,4,2012,2011,0.0,9.8,0.6,0.907,0.27,0.013
784,43.911565263999904,-78.78870535599991,8.22,8,2005,2006,0.0,1.5,0.0,1.504,0.74,0.128
786,43.8566716389999,-78.96067785609999,8.44,9,2014,2016,5.2,7.2,5.2,1.13,0.44,0.019
788,43.9698207641,-78.7474947309,8.26,4,2012,2011,0.0,9.8,0.6,0.7410000000000001,0.2,0.01
789,43.9336066389999,-78.9618889811,8.36,6,2012,2011,0.0,26.8,6.4,1.298,0.68,0.068
792,43.961447014099996,-79.1256539813,8.42,8,2009,2011,0.0,0.0,0.0,0.408,0.32,0.025
793,43.826445953885724,-79.0888364051583,7.69,3,2015,2016,0.0,7.2,0.0,1.94,0.52,0.073
794,43.803681746598656,-79.11029851493568,7.93,7,2016,2016,0.0,1.1,0.0,1.031,0.36,0.0249
795,43.903646124282595,-79.02242423756033,8.15,3,2017,2016,1.0,1.0,1.0,2.161,0.4,0.0112
796,43.911565263999904,-78.78870535599991,8.21,8,2004,2006,0.0,0.0,0.0,2.123,0.55,0.054000000000000006
799,43.88073326399999,-78.821483231,8.19,8,2011,2011,0.0,15.6,15.4,1.426,0.56,0.078
800,43.85091976432907,-79.07581985566414,8.54,9,2017,2016,0.8,0.8,0.8,0.8210000000000001,0.35,0.0107
802,43.961447014099996,-79.1256539813,8.41,7,2009,2011,1.0,8.6,1.0,0.319,0.26,0.02
804,43.8665555139999,-78.83083585599991,8.28,7,2005,2006,0.0,9.9,1.9,0.8430000000000001,0.31,0.024
805,43.961447014099996,-79.1256539813,8.33,6,2014,2016,3.0,3.8,3.0,0.34,0.31,0.017
808,43.894292013999994,-78.6750209809,8.43,5,2014,2016,1.2,3.2,3.2,0.95,0.4,0.006999999999999999
809,43.839189888999904,-79.03983860619991,8.27,6,2013,2011,0.0,34.6,0.0,0.8250000000000001,0.44,0.022
810,43.826445953885724,-79.0888364051583,8.02,3,2017,2016,0.0,1.0,1.0,2.301,0.47,0.0143
811,43.839189888999904,-79.03983860619991,8.39,8,2005,2006,0.0,0.6,0.0,0.546,0.26,0.012
813,43.894292013999994,-78.6750209809,8.46,10,2008,2006,0.0,19.2,3.4,1.0279999999999998,0.35,0.011
814,43.87148426502804,-79.06518285587957,7.59,11,2018,2016,0.0,15.6,0.0,0.8959999999999999,0.45,0.0195
815,43.85091976432907,-79.07581985566414,8.2,1,2019,2016,0.0,0.0,0.0,1.9669999999999999,0.56,0.0915
816,43.9698342641,-78.8843021061,8.37,7,2007,2006,0.0,11.6,0.0,1.226,0.22,0.018000000000000002
817,43.9336066389999,-78.9618889811,8.27,10,2005,2006,4.2,4.2,4.2,0.8909999999999999,0.21,0.004
819,43.87148426502804,-79.06518285587957,8.59,8,2018,2016,0.0,4.0,0.0,0.792,0.59,0.0364
821,43.826445953885724,-79.0888364051583,6.79,4,2019,2016,0.0,34.0,6.0,2.4610000000000003,0.85,0.0342
822,43.85091976432907,-79.07581985566414,8.26,5,2018,2016,32.2,32.2,32.2,0.997,0.5,0.01
823,43.961447014099996,-79.1256539813,8.3,7,2012,2011,27.4,53.4,27.4,0.39,0.32,0.036000000000000004
826,43.9462080141,-78.9036611061,8.44,9,2008,2006,0.3,25.6,14.4,1.233,0.45,0.066
828,43.866872015284024,-79.08601360640442,7.4,11,2018,2016,0.0,15.6,0.0,0.8540000000000001,0.49,0.0291
829,43.83918989152514,-79.03983860614731,7.78,3,2015,2016,0.0,7.2,0.0,1.0,0.4,0.096
831,43.803681746598656,-79.11029851493568,8.34,4,2018,2016,5.8,5.8,5.8,3.693,0.66,0.017
832,43.85091976432907,-79.07581985566414,8.3,9,2019,2016,0.0,21.0,21.0,1.271,0.84,0.0343
837,43.9336066389999,-78.9618889811,8.36,8,2012,2011,0.4,3.0,2.4,0.7879999999999999,0.33,0.032
838,43.87148426502804,-79.06518285587957,8.25,12,2019,2016,1.8,16.2,16.2,2.255,1.63,0.185
839,43.803681746598656,-79.11029851493568,8.15,11,2015,2016,0.0,4.7,0.0,1.7009999999999998,0.42,0.0133
841,43.803681746598656,-79.11029851493568,7.99,2,2016,2016,0.0,0.0,0.0,2.4530000000000003,0.47,0.0162
844,43.961447013814315,-79.12565398133975,8.08,3,2017,2016,0.0,0.2,0.0,0.47,0.3,0.0190333333333333
846,43.85091976432907,-79.07581985566414,8.38,10,2016,2016,0.6,5.799999999999999,5.199999999999998,0.8350000000000001,0.27,0.0158
851,43.88073326399999,-78.821483231,8.28,6,2009,2011,0.0,0.0,0.0,2.143,0.63,0.04
852,43.866872015284024,-79.08601360640442,8.47,3,2018,2016,0.0,0.0,0.0,0.934,0.54,0.0297
853,43.839189888999904,-79.03983860619991,8.57,12,2011,2011,0.0,0.0,0.0,1.2309999999999999,0.34,0.015
855,43.95051113741628,-79.0852601060121,8.51,8,2019,2016,0.2,16.599999999999998,5.2,0.482,0.31,0.0246
856,43.9336066389999,-78.9618889811,8.48,7,2006,2006,0.6,2.0,0.6,0.9440000000000001,0.31,0.023
